time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20160613:0410,200,0,7.65,0.17,5.15,12.26,2.58,0
20160613:0510,4638,0,36.55,0.81,14.42,12.43,2.74,0
20160613:0610,24704,3.23,136.05,2.99,24.28,12.6,2.91,0
20160613:0710,31996,2.21,171.88,3.66,34.4,12.69,3.09,0
20160613:0810,53394,15.09,263.1,5.82,44.43,12.78,3.28,0
20160613:0910,58624,11.73,292.14,6.33,53.82,12.87,3.46,0
20160613:1010,26272,0,146.56,3.07,61.53,13.42,3.34,0
20160613:1110,23434,0,132.99,2.79,65.62,13.96,3.22,0
20160613:1210,94940,84.33,405.75,9.78,64.19,14.51,3.1,0
20160613:1310,25858,0,145.66,3.05,58.01,15.3,3.51,0
20160613:1410,67726,37.95,314.98,7.2,49.29,16.09,3.92,0
20160613:1510,39018,3.99,207.44,4.41,39.49,16.88,4.33,0
20160613:1610,14176,0,87.75,1.84,29.37,16.24,3.66,0
20160613:1710,7602,0,53.38,1.12,19.34,15.6,2.99,0
20160613:1810,1636,0,18.7,0.42,9.73,14.96,2.32,0
20160613:1910,0,0,0,0,0,14.43,2.02,0
20160613:2010,0,0,0,0,0,13.9,1.72,0
20160613:2110,0,0,0,0,0,13.38,1.42,0
20160613:2210,0,0,0,0,0,13.38,1.4,0
20160613:2310,0,0,0,0,0,13.38,1.38,0
20160614:0010,0,0,0,0,0,13.39,1.37,0
20160614:0110,0,0,0,0,0,13.01,1.45,0
20160614:0210,0,0,0,0,0,12.63,1.53,0
20160614:0310,0,0,0,0,0,12.26,1.61,0
20160614:0410,0,0,5.1,0.11,5.16,12.55,1.81,0
20160614:0510,11512,0,73.1,1.63,14.43,12.85,2,0
20160614:0610,16172,0,96.8,2.03,24.28,13.15,2.19,0
20160614:0710,57638,66.3,236.56,6.67,34.4,13.5,2.56,0
20160614:0810,23804,0,134.8,2.82,44.43,13.84,2.93,0
20160614:0910,17200,0,102.23,2.14,53.83,14.19,3.3,0
20160614:1010,24666,0,139.32,2.92,61.55,14.48,3.35,0
20160614:1110,92736,73.53,405.1,9.62,65.66,14.78,3.4,0
20160614:1210,69884,19.45,343.86,7.5,64.26,15.07,3.45,0
20160614:1310,90530,85.14,382.23,9.3,58.08,15.09,3.44,0
20160614:1410,52202,8.43,266.69,5.72,49.36,15.1,3.44,0
20160614:1510,62952,52.84,275.15,6.67,39.56,15.11,3.43,0
20160614:1610,45982,40.52,204.72,5.12,29.44,14.71,3.16,0
20160614:1710,23084,10.57,123.27,2.92,19.41,14.31,2.88,0
20160614:1810,5666,0,42.5,0.95,9.81,13.91,2.61,0
20160614:1910,0,0,0,0,0,13.21,2.23,0
20160614:2010,0,0,0,0,0,12.52,1.84,0
20160614:2110,0,0,0,0,0,11.83,1.46,0
20160614:2210,0,0,0,0,0,11.68,1.48,0
20160614:2310,0,0,0,0,0,11.54,1.49,0
20160615:0010,0,0,0,0,0,11.4,1.5,0
20160615:0110,0,0,0,0,0,10.89,1.51,0
20160615:0210,0,0,0,0,0,10.38,1.52,0
20160615:0310,0,0,0,0,0,9.87,1.53,0
20160615:0410,2076,0,21.25,0.47,5.17,10.47,1.82,0
20160615:0510,9286,0,61.2,1.36,14.43,11.08,2.1,0
20160615:0610,33234,27.45,158.76,4.59,24.27,11.69,2.39,0
20160615:0710,9080,0,60.61,1.27,34.39,12.97,2.97,0
20160615:0810,67442,50.49,298.57,7.28,44.43,14.24,3.54,0
20160615:0910,128690,355.22,307.28,12.86,53.83,15.52,4.12,0
20160615:1010,169728,677.92,209.22,16.28,61.57,16.09,4.27,0
20160615:1110,22804,0,131.18,2.75,65.7,16.67,4.41,0
20160615:1210,183902,779.69,192.56,17.09,64.32,17.24,4.55,0
20160615:1310,100258,126.03,394.23,10.17,58.15,17.34,4.36,0
20160615:1410,87966,110.56,346.41,9,49.43,17.44,4.17,0
20160615:1510,74680,104.64,285.22,7.77,39.63,17.54,3.97,0
20160615:1610,39610,21.13,194.64,4.51,29.5,17.14,3.04,0
20160615:1710,16422,1.25,98.55,2.1,19.47,16.74,2.11,0
20160615:1810,574,0,11.05,0.25,9.87,16.34,1.17,0
20160615:1910,0,0,0,0,0,15.67,1.08,0
20160615:2010,0,0,0,0,0,15,0.99,0
20160615:2110,0,0,0,0,0,14.33,0.9,0
20160615:2210,0,0,0,0,0,13.73,1.03,0
20160615:2310,0,0,0,0,0,13.13,1.17,0
20160616:0010,0,0,0,0,0,12.54,1.31,0
20160616:0110,0,0,0,0,0,12.34,1.26,0
20160616:0210,0,0,0,0,0,12.14,1.21,0
20160616:0310,0,0,0,0,0,11.94,1.16,0
20160616:0410,0,0,5.1,0.11,5.17,12.17,1.27,0
20160616:0510,1660,0,18.7,0.42,14.42,12.41,1.39,0
20160616:0610,3304,0,28.95,0.61,24.27,12.64,1.5,0
20160616:0710,7358,0,51.57,1.08,34.39,12.9,1.65,0
20160616:0810,15440,0,93.18,1.95,44.42,13.17,1.8,0
20160616:0910,11850,0,75.09,1.57,53.83,13.43,1.94,0
20160616:1010,18430,0,108.56,2.27,61.58,14.24,2.01,0
20160616:1110,15482,0,94.09,1.97,65.74,15.06,2.08,0
20160616:1210,22444,0,129.37,2.71,64.37,15.87,2.15,0
20160616:1310,45878,1.08,246.15,5.17,58.21,16.67,1.64,0
20160616:1410,25806,0,147.46,3.09,49.49,17.47,1.12,0
20160616:1510,17836,0,107.66,2.25,39.69,18.26,0.61,0
20160616:1610,4444,0,36.19,0.76,29.56,17.28,0.86,0
20160616:1710,4310,0,35.28,0.74,19.54,16.29,1.1,0
20160616:1810,1758,0,19.55,0.44,9.93,15.31,1.35,0
20160616:1910,0,0,0,0,0,14.72,1.53,0
20160616:2010,0,0,0,0,0,14.13,1.71,0
20160616:2110,0,0,0,0,0,13.55,1.89,0
20160616:2210,0,0,0,0,0,13.36,2.47,0
20160616:2310,0,0,0,0,0,13.17,3.05,0
20160617:0010,0,0,0,0,0,12.98,3.63,0
20160617:0110,0,0,0,0,0,12.12,3.14,0
20160617:0210,0,0,0,0,0,11.26,2.65,0
20160617:0310,0,0,0,0,0,10.4,2.17,0
20160617:0410,0,0,5.1,0.11,5.16,10.88,2.51,0
20160617:0510,13128,0,80.75,1.8,14.41,11.36,2.85,0
20160617:0610,25032,3.63,136.85,3.03,24.25,11.84,3.19,0
20160617:0710,24512,0,137.51,2.88,34.37,12.83,3.81,0
20160617:0810,96334,207.75,282.74,10.17,44.41,13.82,4.44,0
20160617:0910,94810,117.92,366.41,9.76,53.83,14.81,5.06,0
