time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20160101:0010,0,0,0,0,0,2.92,1.2,0
20160101:0110,0,0,0,0,0,3.08,1.12,0
20160101:0210,0,0,0,0,0,3.23,1.03,0
20160101:0310,0,0,0,0,0,3.39,0.95,0
20160101:0410,0,0,0,0,0,3.06,0.79,0
20160101:0510,0,0,0,0,0,2.73,0.62,0
20160101:0610,0,0,0,0,0,2.4,0.46,0
20160101:0710,0,0,0,0,0,2.78,0.72,0
20160101:0810,128570,117.28,44.55,1.14,6.63,3.16,0.98,0
20160101:0910,2760,8.3,2.77,0.11,12.98,3.55,1.24,0
20160101:1010,0,0,0,0,0,4.4,1.48,0
20160101:1110,0,0,0,0,0,5.26,1.72,0
20160101:1210,0,0,0,0,0,6.12,1.96,0
20160101:1310,0,0,0,0,0,5.93,1.81,0
20160101:1410,6820,13.87,3.78,0.15,10.79,5.75,1.66,0
20160101:1510,1130,7.31,0.94,0.04,3.82,5.56,1.5,0
20160101:1610,0,0,0,0,0,4.55,1.73,0
20160101:1710,0,0,0,0,0,3.55,1.95,0
20160101:1810,0,0,0,0,0,2.55,2.18,0
20160101:1910,0,0,0,0,0,2.18,2.16,0
20160101:2010,0,0,0,0,0,1.81,2.13,0
20160101:2110,0,0,0,0,0,1.44,2.11,0
20160101:2210,0,0,0,0,0,1.26,2.3,0
20160101:2310,0,0,0,0,0,1.07,2.49,0
20160102:0010,0,0,0,0,0,0.88,2.68,0
20160102:0110,0,0,0,0,0,1.3,2.9,0
20160102:0210,0,0,0,0,0,1.71,3.12,0
20160102:0310,0,0,0,0,0,2.13,3.34,0
20160102:0410,0,0,0,0,0,2.15,3.44,0
20160102:0510,0,0,0,0,0,2.17,3.54,0
20160102:0610,0,0,0,0,0,2.19,3.64,0
20160102:0710,0,0,0,0,0,2.48,3.52,0
20160102:0810,44090,50.58,15.01,0.49,6.65,2.76,3.39,0
20160102:0910,133380,90.2,71.6,1.84,13.02,3.05,3.27,0
20160102:1010,0,0,0,0,0,3,3.18,0
20160102:1110,0,0,0,0,0,2.96,3.09,0
20160102:1210,0,0,0,0,0,2.92,2.99,0
20160102:1310,15770,22.01,7.56,0.3,16.09,3.41,2.75,0
20160102:1410,0,3.44,0.91,0.04,10.91,3.91,2.51,0
20160102:1510,0,0,0,0,0,4.4,2.28,0
20160102:1610,0,0,0,0,0,4.32,2.4,0
20160102:1710,0,0,0,0,0,4.24,2.51,0
20160102:1810,0,0,0,0,0,4.16,2.63,0
20160102:1910,0,0,0,0,0,4.14,2.82,0
20160102:2010,0,0,0,0,0,4.12,3,0
20160102:2110,0,0,0,0,0,4.1,3.19,0
20160102:2210,0,0,0,0,0,4,3.2,0
20160102:2310,0,0,0,0,0,3.89,3.21,0
20160103:0010,0,0,0,0,0,3.78,3.23,0
20160103:0110,0,0,0,0,0,3.48,2.68,0
20160103:0210,0,0,0,0,0,3.18,2.13,0
20160103:0310,0,0,0,0,0,2.89,1.59,0
20160103:0410,0,0,0,0,0,2.72,1.6,0
20160103:0510,0,0,0,0,0,2.56,1.6,0
20160103:0610,0,0,0,0,0,2.39,1.61,0
20160103:0710,0,0,0,0,0,2.61,1.76,0
20160103:0810,66900,69.64,22.43,0.68,6.68,2.82,1.91,0
20160103:0910,135700,115.4,49.02,1.59,13.06,3.04,2.06,0
20160103:1010,196610,155.88,73.07,2.39,17.52,3.33,2.18,0
20160103:1110,170770,137.81,62.98,2.16,19.63,3.62,2.3,0
20160103:1210,524880,378.89,223.45,5.76,19.18,3.91,2.43,0
20160103:1310,222680,177.94,80.05,2.46,16.21,4.05,2.1,0
20160103:1410,143020,126.09,46.92,1.4,11.04,4.18,1.77,0
20160103:1510,57810,68.94,12.64,0.38,4.08,4.32,1.43,0
20160103:1610,0,0,0,0,0,3.87,1.7,0
20160103:1710,0,0,0,0,0,3.43,1.97,0
20160103:1810,0,0,0,0,0,2.99,2.23,0
20160103:1910,0,0,0,0,0,3.23,2.73,0
20160103:2010,0,0,0,0,0,3.48,3.22,0
20160103:2110,0,0,0,0,0,3.72,3.71,0
20160103:2210,0,0,0,0,0,3.57,4.14,0
20160103:2310,0,0,0,0,0,3.42,4.57,0
20160104:0010,0,0,0,0,0,3.26,5.01,0
20160104:0110,0,0,0,0,0,2.95,5.17,0
20160104:0210,0,0,0,0,0,2.64,5.34,0
20160104:0310,0,0,0,0,0,2.33,5.5,0
20160104:0410,0,0,0,0,0,2.51,5.26,0
20160104:0510,0,0,0,0,0,2.7,5.02,0
20160104:0610,0,0,0,0,0,2.88,4.77,0
20160104:0710,0,0,0,0,0,3.15,4.62,0
20160104:0810,0,0,0,0,0,3.42,4.46,0
20160104:0910,231140,180.56,86.61,2.5,13.12,3.7,4.3,0
20160104:1010,0,0,0,0,0,3.81,4.34,0
